PMAID,Zipcode,Name,Feature_ID,hours,Feature_Desc
331,98119,David Rodgers Park,29,4 a.m. - 11:30 p.m.,Tennis Court (Outdoor)
331,98119,David Rodgers Park,46,4 a.m. - 11:30 p.m.,Track
331,98119,David Rodgers Park,37,4 a.m. - 11:30 p.m.,Woods
4082,98144,Day Street Boat Ramp,7,6 a.m. - 10 p.m.,Boat Launch (Hand Carry)
4082,98144,Day Street Boat Ramp,20,6 a.m. - 10 p.m.,Pesticide Free
4082,98144,Day Street Boat Ramp,34,6 a.m. - 10 p.m.,View
4082,98144,Day Street Boat Ramp,36,6 a.m. - 10 p.m.,Waterfront
408,98126,Dearborn Park,58,4 a.m. - 11:30 p.m.,Hiking Trails
408,98126,Dearborn Park,33,4 a.m. - 11:30 p.m.,Paths
408,98126,Dearborn Park,42,4 a.m. - 11:30 p.m.,Paths (ADA Compliant)
408,98126,Dearborn Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
408,98126,Dearborn Park,29,4 a.m. - 11:30 p.m.,Tennis Court (Outdoor)
408,98126,Dearborn Park,37,4 a.m. - 11:30 p.m.,Woods
3980,98112,Denny Blaine Lake Park,20,4 a.m. - 11:30 p.m.,Pesticide Free
3982,98112,Denny Blaine Park,34,4 a.m. - 11:30 p.m.,View
3982,98112,Denny Blaine Park,36,4 a.m. - 11:30 p.m.,Waterfront
3982,98112,Denny Blaine Park,9,4 a.m. - 11:30 p.m.,Weddings and Ceremonies
309,98109,Denny Park,12,4 a.m. - 11:30 p.m.,Dog Off Leash Area
309,98109,Denny Park,33,4 a.m. - 11:30 p.m.,Paths
309,98109,Denny Park,42,4 a.m. - 11:30 p.m.,Paths (ADA Compliant)
309,98109,Denny Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
310,98199,Discovery Park,3,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",Basketball (Full)
